genre,price,release_date,rating,publisher
Strategy,23.36,2021-06-19,6.8,Sony
Simulation,32.51,2024-03-16,5.1,Indie Studio
RPG,58.08,2010-02-06,8.1,Microsoft
Simulation,3.99,2020-07-03,1.2,Valve
Simulation,38.9,2014-11-23,6.5,Indie Studio
Adventure,4.45,2017-06-20,7.6,Sony
RPG,22.53,2024-07-03,9.9,Microsoft
RPG,48.23,2020-08-16,7.1,Nintendo
RPG,26.01,2015-03-10,3.1,Valve
Simulation,59.83,2010-05-17,2.0,Sony
Strategy,33.54,2018-06-04,6.8,EA
RPG,19.27,2023-11-16,5.7,EA
Sports,13.21,2020-08-19,9.1,Microsoft
Simulation,21.03,2011-10-24,7.5,Microsoft
Adventure,22.35,2014-12-16,5.6,EA
Strategy,4.12,2011-02-19,4.6,Nintendo
Sports,22.17,2010-12-09,4.6,Ubisoft
Sports,27.85,2017-06-22,3.0,EA
Adventure,43.36,2019-06-13,1.2,Microsoft
Strategy,39.4,2020-01-14,6.2,Microsoft
Simulation,42.53,2020-03-26,2.9,Nintendo
Action,0.5,2020-09-02,2.9,EA
Strategy,13.06,2021-08-12,2.1,Nintendo
Adventure,39.7,2022-02-05,2.7,EA
Sports,29.04,2015-12-10,1.3,Ubisoft
Simulation,0.32,2024-09-15,7.1,Sony
Strategy,48.27,2015-02-22,4.6,EA
Action,46.37,2020-11-14,6.1,Sony
Action,32.91,2022-11-10,6.7,EA
RPG,3.99,2022-07-07,9.8,Ubisoft
RPG,45.99,2017-03-02,1.6,Indie Studio
Adventure,35.02,2014-02-24,4.8,Microsoft
Strategy,46.92,2011-07-29,3.2,Sony
Strategy,45.1,2022-03-01,5.3,Nintendo
Sports,48.18,2017-11-07,9.3,EA
Sports,31.08,2019-09-15,7.5,Microsoft
Sports,8.42,2022-04-05,7.0,EA
RPG,40.27,2024-10-13,5.0,Nintendo
Strategy,37.23,2010-03-13,7.0,Ubisoft
Strategy,44.54,2017-01-12,1.3,Valve
Action,10.19,2019-05-31,6.3,EA
RPG,11.7,2018-02-28,6.0,Indie Studio
Simulation,53.42,2013-01-22,4.1,Nintendo
RPG,45.0,2016-07-14,2.8,Valve
Simulation,54.49,2019-08-10,8.3,EA
Action,45.52,2013-09-21,1.5,Sony
Adventure,35.83,2023-01-12,1.6,Microsoft
Strategy,39.25,2014-02-24,5.0,Microsoft
Action,53.35,2010-02-09,3.3,Nintendo
Strategy,34.73,2013-10-14,7.7,Sony
Sports,37.94,2015-07-24,6.7,Ubisoft
Adventure,9.39,2017-03-06,8.0,Valve
Adventure,28.44,2024-09-17,3.9,Nintendo
Action,42.98,2023-11-10,7.7,Indie Studio
Adventure,16.26,2015-03-16,8.8,EA
Simulation,12.14,2016-01-27,4.1,Microsoft
Adventure,18.83,2023-02-18,4.1,EA
Strategy,14.49,2022-08-12,9.1,Valve
Strategy,12.89,2013-07-07,1.4,Sony
Strategy,25.49,2011-08-07,4.2,Sony
Strategy,54.47,2023-11-28,2.1,Nintendo
Simulation,30.42,2011-04-04,1.3,Nintendo
RPG,11.28,2016-03-15,2.0,Sony
Sports,4.62,2017-04-20,4.9,Nintendo
Action,41.77,2012-03-26,7.2,Sony
Strategy,22.97,2016-11-16,3.6,Valve
Adventure,49.31,2010-09-04,8.6,Nintendo
Strategy,39.57,2023-03-19,4.9,Sony
Adventure,47.77,2011-02-21,9.7,Nintendo
Sports,16.32,2024-02-07,9.6,EA
Sports,41.54,2022-03-22,8.0,Microsoft
Sports,15.84,2020-03-06,9.4,EA
Adventure,56.34,2010-04-18,7.4,Ubisoft
Strategy,38.18,2017-03-16,9.1,Sony
Sports,19.47,2012-04-18,3.1,Ubisoft
Simulation,16.17,2022-05-11,4.1,Sony
Adventure,11.46,2023-06-18,7.8,Microsoft
Adventure,41.68,2013-11-22,4.8,Nintendo
Strategy,13.12,2023-01-31,8.5,Sony
Adventure,35.72,2020-09-17,8.9,EA
Adventure,15.88,2010-09-13,3.7,Nintendo
Sports,39.72,2017-09-28,8.4,Microsoft
Strategy,48.9,2012-04-17,2.4,EA
Sports,46.68,2018-02-10,4.0,Nintendo
Sports,45.65,2016-04-01,5.7,Sony
Strategy,11.26,2011-07-07,3.0,Sony
Action,5.3,2010-06-30,6.2,EA
Sports,41.94,2021-08-23,6.2,Valve
Simulation,22.1,2014-01-17,2.9,Sony
Simulation,25.94,2011-07-25,8.2,Valve
Adventure,1.87,2023-07-24,6.7,Nintendo
Simulation,15.57,2014-09-24,3.9,Valve
Adventure,2.02,2024-01-31,3.1,EA
Action,52.75,2011-08-15,8.9,Ubisoft
Strategy,14.6,2022-05-14,8.5,Ubisoft
Strategy,33.44,2016-03-10,3.1,EA
Strategy,2.34,2018-01-26,1.3,Indie Studio
Simulation,40.01,2010-12-14,8.2,Ubisoft
Action,19.38,2010-06-15,6.5,EA
Simulation,53.88,2023-10-12,1.9,Sony
Simulation,53.29,2022-03-02,6.3,Valve
Action,19.52,2017-12-06,5.1,Ubisoft
Action,54.06,2022-04-21,8.0,Sony
Action,59.77,2011-08-06,2.9,Ubisoft
Action,49.52,2019-08-08,5.1,Nintendo
Strategy,50.69,2022-01-21,2.4,EA
RPG,14.94,2018-04-27,9.6,EA
RPG,34.6,2017-10-16,8.0,Sony
Action,4.04,2017-07-29,7.6,Indie Studio
RPG,5.7,2021-06-26,7.2,Nintendo
RPG,59.93,2013-06-19,4.8,Valve
Action,19.6,2021-08-24,9.3,Nintendo
RPG,44.89,2022-09-24,1.7,Indie Studio
Simulation,48.4,2022-12-30,8.2,Nintendo
Adventure,51.48,2018-02-15,2.9,Microsoft
Adventure,59.86,2016-03-24,3.9,Valve
Action,14.49,2016-10-06,5.7,Valve
Strategy,2.42,2016-04-09,8.0,Nintendo
Action,24.67,2017-01-21,8.5,Ubisoft
Strategy,7.8,2020-01-09,6.3,Microsoft
Adventure,1.35,2012-12-04,4.6,Ubisoft
Action,21.63,2017-06-29,9.5,Nintendo
Sports,47.02,2023-03-23,3.2,Ubisoft
Simulation,33.97,2015-05-05,8.2,Valve
RPG,18.77,2010-04-02,6.5,Valve
Strategy,39.26,2018-06-21,4.4,Ubisoft
Sports,13.92,2016-01-29,1.0,Valve
RPG,0.86,2024-07-17,5.0,EA
RPG,45.86,2024-03-24,3.5,Valve
Action,37.42,2024-10-14,1.9,Nintendo
RPG,45.74,2013-10-19,1.7,Sony
Simulation,2.34,2021-09-14,4.1,Ubisoft
Sports,50.23,2016-04-04,6.5,Microsoft
RPG,37.17,2018-10-12,8.5,Indie Studio
